Sample name,AA amplicon number,Feature ID,Classification,Location,Oncogenes,Complexity score,Captured interval length,Feature median copy number,Feature maximum copy number,Filter flag,Reference version,Tissue of origin,Sample type,Feature BED file,CNV BED file,AA PNG file,AA PDF file,AA cycles file,AA graph file,Run metadata JSON,Sample metadata JSON,All genes
769P_KIDNEY,NA,769P_KIDNEY_NA,NA,[],[],NA,NA,NA,NA,NA,GRCh38,kidney,cell line,Not Provided,samples/769P_KIDNEY/769P_KIDNEY_CNV_CALLS.bed,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,[]
786O_KIDNEY,NA,786O_KIDNEY_NA,NA,[],[],NA,NA,NA,NA,NA,GRCh38,kidney,cell line,Not Provided,samples/786O_KIDNEY/786O_KIDNEY_CNV_CALLS.bed,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,[]
8305C_THYROID,1,8305C_THYROID_amplicon1_ecDNA_1,ecDNA,"['chr20:34283685-34285398', 'chr20:34299250-34611096', 'chr8:33167666-33301262', 'chr8:33302858-34254640']","['DUSP26', 'PIGU']",0.375312267707661,1398937.0,25.987924878490592,44.56189628743522,None,GRCh38,thyroid,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/8305C_THYROID_amplicon1_ecDNA_1_intervals.bed,samples/8305C_THYROID/8305C_THYROID_CNV_CALLS.bed,samples/8305C_THYROID/8305C_THYROID_AA_results/8305C_THYROID_amplicon1.png,samples/8305C_THYROID/8305C_THYROID_AA_results/8305C_THYROID_amplicon1.pdf,samples/8305C_THYROID/8305C_THYROID_AA_results/8305C_THYROID_amplicon1_cycles.txt,samples/8305C_THYROID/8305C_THYROID_AA_results/8305C_THYROID_amplicon1_graph.txt,Not Provided,Not Provided,"['AHCY', 'DUSP26', 'DYNLRB1', 'FUT10', 'ITCH', 'MAK16', 'MAP1LC3A', 'PIGU', 'RNF122', 'SNORD13', 'TTI2']"
A101D_SKIN,1,A101D_SKIN_amplicon1_BFB_1,BFB,"['chr7:134565913-134821600', 'chr7:134821820-135015908']",[],0.7609234702272206,449775.0,6.2351913931908305,6.2351913931908305,LowCN,GRCh38,skin,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/A101D_SKIN_amplicon1_BFB_1_intervals.bed,samples/A101D_SKIN/A101D_SKIN_CNV_CALLS.bed,samples/A101D_SKIN/A101D_SKIN_AA_results/A101D_SKIN_amplicon1.png,samples/A101D_SKIN/A101D_SKIN_AA_results/A101D_SKIN_amplicon1.pdf,samples/A101D_SKIN/A101D_SKIN_AA_results/A101D_SKIN_amplicon1_cycles.txt,samples/A101D_SKIN/A101D_SKIN_AA_results/A101D_SKIN_amplicon1_graph.txt,Not Provided,Not Provided,"['AGBL3', 'AKR1B15', 'BPGM', 'CALD1']"
A101D_SKIN,2,A101D_SKIN_amplicon2_Linear_1,Linear,"['chr22:18939300-19584055', 'chr22:19585578-21214483']","['CLTCL1', 'CRKL']",0.9919104781094745,2273660.0,7.768985821210742,9.725368287120558,None,GRCh38,skin,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/A101D_SKIN_amplicon2_Linear_1_intervals.bed,samples/A101D_SKIN/A101D_SKIN_CNV_CALLS.bed,samples/A101D_SKIN/A101D_SKIN_AA_results/A101D_SKIN_amplicon2.png,samples/A101D_SKIN/A101D_SKIN_AA_results/A101D_SKIN_amplicon2.pdf,samples/A101D_SKIN/A101D_SKIN_AA_results/A101D_SKIN_amplicon2_cycles.txt,samples/A101D_SKIN/A101D_SKIN_AA_results/A101D_SKIN_amplicon2_graph.txt,Not Provided,Not Provided,"['AIFM3', 'ARVCF', 'BCRP2', 'C22orf39', 'CCDC188', 'CDC45', 'CLDN5', 'CLTCL1', 'COMT', 'CRKL', 'DGCR10', 'DGCR11', 'DGCR2', 'DGCR5', 'DGCR6L', 'DGCR8', 'DGCR9', 'ESS2', 'FAM230B', 'FAM230G', 'GGT2', 'GNB1L', 'GP1BB', 'GSC2', 'HIRA', 'KLHL22', 'LRRC74B', 'LZTR1', 'MED15', 'MRPL40', 'P2RX6', 'P2RX6P', 'PI4KA', 'POM121L4P', 'RANBP1', 'RTL10', 'RTN4R', 'SCARF2', 'SEPT5-GP1BB', 'SEPTIN5', 'SERPIND1', 'SLC25A1', 'SLC7A4', 'SNAP29', 'SNORA77B', 'TANGO2', 'TBX1', 'THAP7', 'THAP7-AS1', 'TMEM191A', 'TRMT2A', 'TSSK2', 'TUBA3FP', 'TXNRD2', 'UFD1', 'ZDHHC8', 'ZNF74']"
A204_SOFT_TISSUE,NA,A204_SOFT_TISSUE_NA,NA,[],[],NA,NA,NA,NA,NA,GRCh38,soft tissue,cell line,Not Provided,samples/A204_SOFT_TISSUE/A204_SOFT_TISSUE_CNV_CALLS.bed,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,[]
A2058_SKIN,NA,A2058_SKIN_NA,NA,[],[],NA,NA,NA,NA,NA,GRCh38,skin,cell line,Not Provided,samples/A2058_SKIN/A2058_SKIN_CNV_CALLS.bed,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,[]
A2780_OVARY,NA,A2780_OVARY_NA,NA,[],[],NA,NA,NA,NA,NA,GRCh38,ovary,cell line,Not Provided,samples/A2780_OVARY/A2780_OVARY_CNV_CALLS.bed,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,[]
A375_SKIN,NA,A375_SKIN_NA,NA,[],[],NA,NA,NA,NA,NA,GRCh38,skin,cell line,Not Provided,samples/A375_SKIN/A375_SKIN_CNV_CALLS.bed,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,[]
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon1_Linear_1,Linear,['chr1:62780166-62839404'],[],0.5551065044875602,59238.0,4.660959449489027,4.660959449489027,LowCN,GRCh38,haematopoietic and lymphoid tissue,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon1_Linear_1_intervals.bed,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_CNV_CALLS.bed,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon1.png,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon1.pdf,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon1_cycles.txt,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon1_graph.txt,Not Provided,Not Provided,['ATG4C']
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2_Linear_1,Linear,['chr3:61013234-61105860'],[],0.667299795227712,92626.0,4.778728195643449,6.1437514532924045,None,GRCh38,haematopoietic and lymphoid tissue,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2_Linear_1_intervals.bed,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_CNV_CALLS.bed,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2.png,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2.pdf,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2_cycles.txt,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2_graph.txt,Not Provided,Not Provided,[]
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon3_Linear_1,Linear,['chr3:194740432-194797357'],[],0.378630606468088,56925.0,4.989262949271264,4.989262949271264,LowCN,GRCh38,haematopoietic and lymphoid tissue,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon3_Linear_1_intervals.bed,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_CNV_CALLS.bed,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon3.png,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon3.pdf,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon3_cycles.txt,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon3_graph.txt,Not Provided,Not Provided,[]
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4_ecDNA_1,ecDNA,"['chr3:195779887-195783346', 'chr3:195783876-195788432', 'chr3:196035694-196047057', 'chr3:196048094-196050519', 'chr3:196051160-196090764', 'chr22:22863501-22941860']","['MUC4', 'TFRC']",1.185722244448912,139766.0,6.440621499090429,10.070882663534363,None,GRCh38,haematopoietic and lymphoid tissue,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4_ecDNA_1_intervals.bed,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_CNV_CALLS.bed,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4.png,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4.pdf,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4_cycles.txt,samples/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_results/A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4_graph.txt,Not Provided,Not Provided,"['IGLL5', 'MUC4', 'TFRC']"
A549_LUNG,NA,A549_LUNG_NA,NA,[],[],NA,NA,NA,NA,NA,GRCh38,lung,cell line,Not Provided,samples/A549_LUNG/A549_LUNG_CNV_CALLS.bed,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,[]
A704_KIDNEY,1,A704_KIDNEY_amplicon1_Linear_1,Linear,['chr16:22610956-22699430'],[],0.6644754414306098,88474.0,6.259490646574596,6.259490646574596,None,GRCh38,kidney,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/A704_KIDNEY_amplicon1_Linear_1_intervals.bed,samples/A704_KIDNEY/A704_KIDNEY_CNV_CALLS.bed,samples/A704_KIDNEY/A704_KIDNEY_AA_results/A704_KIDNEY_amplicon1.png,samples/A704_KIDNEY/A704_KIDNEY_AA_results/A704_KIDNEY_amplicon1.pdf,samples/A704_KIDNEY/A704_KIDNEY_AA_results/A704_KIDNEY_amplicon1_cycles.txt,samples/A704_KIDNEY/A704_KIDNEY_AA_results/A704_KIDNEY_amplicon1_graph.txt,Not Provided,Not Provided,[]
ABC1_LUNG,1,ABC1_LUNG_amplicon1_Linear_1,Linear,['chr4:161967909-162770269'],[],0.8531552613454498,802360.0,5.169744120117584,5.169744120117584,None,GRCh38,lung,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/ABC1_LUNG_amplicon1_Linear_1_intervals.bed,samples/ABC1_LUNG/ABC1_LUNG_CNV_CALLS.bed,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon1.png,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon1.pdf,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon1_cycles.txt,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon1_graph.txt,Not Provided,Not Provided,['FSTL5']
ABC1_LUNG,2,ABC1_LUNG_amplicon2_Linear_1,Linear,"['chr5:3325865-3336478', 'chr5:13790431-15370482']",['TRIO'],0.6788990934520388,1590664.0,8.898312095603476,8.898312095603476,None,GRCh38,lung,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/ABC1_LUNG_amplicon2_Linear_1_intervals.bed,samples/ABC1_LUNG/ABC1_LUNG_CNV_CALLS.bed,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon2.png,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon2.pdf,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon2_cycles.txt,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon2_graph.txt,Not Provided,Not Provided,"['ANKH', 'DNAH5', 'OTULIN', 'OTULINL', 'SNORD141A', 'SNORD141B', 'SNORD170', 'TRIO']"
ABC1_LUNG,3,ABC1_LUNG_amplicon3_Linear_1,Linear,"['chr5:21858674-21869286', 'chr5:22500608-23385620']",[],0.2977461313656191,895624.0,8.55655343258448,8.55655343258448,None,GRCh38,lung,cell line,consolidated_classification/69d18295fc9a5d9c79b9c22a_classification_bed_files/ABC1_LUNG_amplicon3_Linear_1_intervals.bed,samples/ABC1_LUNG/ABC1_LUNG_CNV_CALLS.bed,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon3.png,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon3.pdf,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon3_cycles.txt,samples/ABC1_LUNG/ABC1_LUNG_AA_results/ABC1_LUNG_amplicon3_graph.txt,Not Provided,Not Provided,['CDH12']
